Category,BodyPart,Type of Muscle,Level,Title,Desc,Type,Equipment,Workout,Sets,Reps per Set,Rating,RatingDesc,Goal
Home,Abs,Upper,Intermediate,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Bands,Crunches,3-4,10-15,0.0,,Gain Muscle
Home,Abs,Upper,Intermediate,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Bands,Leg raises,3-4,10-15,0.0,,Gain Muscle
Home,Abs,Middle,Intermediate,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Bands,Bicycle crunches,3-4,10-15,0.0,,Gain Muscle
Home,Abs,Middle,Intermediate,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Bands,Russian twists,3-4,10-15,0.0,,Gain Muscle
Home,Abs,Lower,Intermediate,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Bands,Hanging leg raises,3-4,10-15,0.0,,Gain Muscle
Home,Abs,Lower,Intermediate,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Bands,Plank,30-60 seconds,1,0.0,,Gain Muscle
Home,Abs,Upper,Intermediate,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Upper,Intermediate,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Home,Abs,Upper,Intermediate,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
