Goal,Category,BodyPart,Level,Equipment,Workout,Sets,Reps per Set
Gain Muscle,Home,Abs,Intermediate,Bands,Crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Bicycle crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Russian twists,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Hanging leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Plank,30-60 seconds,1
Gain Muscle,Home,Abs,Intermediate,Bands,Crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Bicycle crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Russian twists,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Hanging leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Plank,30-60 seconds,1
Gain Muscle,Home,Abs,Intermediate,Bands,Crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Bicycle crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Russian twists,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Hanging leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Plank,30-60 seconds,1
Gain Muscle,Home,Abs,Intermediate,Bands,Crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Bicycle crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Russian twists,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Hanging leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Plank,30-60 seconds,1
Gain Muscle,Home,Abs,Intermediate,Bands,Crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Leg raises,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Bicycle crunches,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Russian twists,3-4,10-15
Gain Muscle,Home,Abs,Intermediate,Bands,Hanging leg raises,3-4,10-15
